Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
George Blaha,WMGC / Fox Sports Detroit,"James, LeBron -- CLE","Green, Draymond -- GS","Cousins, DeMarcus -- SAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Davis, Anthony -- NOP","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Butler, Jimmy -- CHI","Drummond, Andre -- DET","Wall, John -- WAS","Harden, James -- HOU",2015
Grant Napear,Comcast SportsNet-CA,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","George, Paul -- IND","Drummond, Andre -- DET","Thompson, Klay -- GS","Paul, Chris -- LAC","Millsap, Paul -- ATL","Butler, Jimmy -- CHI","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2015
Howard Beck,Bleacher Report,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Whiteside, Hassan -- MIA","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Thompson, Klay -- GS","Towns, Karl-Anthony -- MIN","Lillard, Damian -- POR","Harden, James -- HOU",2015
Hubie Brown,ESPN,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Paul, Chris -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- SA","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU",2015
Ira Winderman,South Florida Sun Sentinel,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Millsap, Paul -- ATL","Durant, Kevin -- OKC","Davis, Anthony -- NOP","Harden, James -- HOU","Lillard, Damian -- POR","Horford, Al -- ATL","George, Paul -- IND","Cousins, DeMarcus -- SAC","Thomas, Isaiah -- BOS","Lowry, Kyle -- TOR",2015
Israel Guttierez,ESPN.com,"James, LeBron -- CLE","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Lillard, Damian -- POR","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Towns, Karl-Anthony -- MIN","Paul, Chris -- LAC","DeRozan, DeMar -- TOR",2015
JA Adande,ESPN.com,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Thompson, Klay -- GS","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Drummond, Andre -- DET","Lillard, Damian -- POR","Lowry, Kyle -- TOR",2015
Jason Jones,Sacramento Bee,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Harden, James -- HOU","Paul, Chris -- LAC","Davis, Anthony -- NOP","George, Paul -- IND","Jordan, DeAndre -- LAC","Thomas, Isaiah -- BOS","Lillard, Damian -- POR",2015
Jason Kosmicki,Altitude Radio Network,"James, LeBron -- CLE","Durant, Kevin -- OKC","Green, Draymond -- GS","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Millsap, Paul -- ATL","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Paul, Chris -- LAC","George, Paul -- IND","Davis, Anthony -- NOP","Drummond, Andre -- DET","DeRozan, DeMar -- TOR","Lillard, Damian -- POR",2015
Jason Lloyd,Akron Beacon Journal,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Lowry, Kyle -- TOR","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","George, Paul -- IND","Drummond, Andre -- DET","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
