Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Jim Spanarkel,YES Network,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Turner, Myles -- IND","Winslow, Justise -- MIA","Kaminsky, Frank -- CHA","Okafor, Jahlil -- PHI","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Lyles, Trey -- UTA",2016,All-Rookie
Jody Genessy,Deseret News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Lyles, Trey -- UTA","Cauley-Stein, Willie -- SAC","Kaminsky, Frank -- CHA",2016,All-Rookie
Joel Meyers,Fox Sports New Orleans,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Jokic, Nikola -- DEN","Kaminsky, Frank -- CHA","Cauley-Stein, Willie -- SAC",2016,All-Rookie
John Denton,OrlandoMagic.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI","Richardson, Josh -- MIA","Turner, Myles -- IND","Johnson, Stanley -- DET","Hezonja, Mario -- ORL",2016,All-Rookie
John Krawczynski,Associated Press,"Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Lyles, Trey -- UTA","Russell, D'Angelo -- LAL","Cauley-Stein, Willie -- SAC",2016,All-Rookie
John Michael,Cavaliers Radio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Richardson, Josh -- MIA","Turner, Myles -- IND","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL",2016,All-Rookie
Jon Barry,ESPN Radio,"Towns, Karl-Anthony -- MIN","Turner, Myles -- IND","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Richardson, Josh -- MIA","Winslow, Justise -- MIA","Portis, Bobby -- CHI","Russell, D'Angelo -- LAL",2016,All-Rookie
Jonathan Feigen,Houston Chronicle,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Johnson, Stanley -- DET","Winslow, Justise -- MIA",2016,All-Rookie
Keith Pompey,Philadelphia Inquirer,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","McConnell, TJ -- PHI","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Johnson, Stanley -- DET","Jokic, Nikola -- DEN",2016,All-Rookie
Ken Berger,CBSSports.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Booker, Devin -- PHX","Cauley-Stein, Willie -- SAC","Turner, Myles -- IND","Portis, Bobby -- CHI","Russell, D'Angelo -- LAL",2016,All-Rookie
Kevin Arnovitz,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Turner, Myles -- IND","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA","Cauley-Stein, Willie -- SAC","Russell, D'Angelo -- LAL",2016,All-Rookie
Kevin Calabro,ESPN Radio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Booker, Devin -- PHX","Richardson, Josh -- MIA","McConnell, TJ -- PHI","Turner, Myles -- IND","Johnson, Stanley -- DET","Jokic, Nikola -- DEN",2016,All-Rookie
Lang Whitaker,NBA.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Jokic, Nikola -- DEN","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA","Johnson, Stanley -- DET",2016,All-Rookie
Leo Rautins,SportsNet/TSN,"Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Turner, Myles -- IND","Kaminsky, Frank -- CHA","Richardson, Josh -- MIA","Russell, D'Angelo -- LAL",2016,All-Rookie
Marc Spears,The Undefeated,"Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Winslow, Justise -- MIA","Jokic, Nikola -- DEN","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Marc Stein,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Winslow, Justise -- MIA","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA","Russell, D'Angelo -- LAL","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Marc Zumoff,Sixers TV,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Winslow, Justise -- MIA","Johnson, Stanley -- DET",2016,All-Rookie
Mark Boyle,107.5/1070 The Fan,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Mudiay, Emmanuel -- DEN","Winslow, Justise -- MIA","Lyles, Trey -- UTA",2016,All-Rookie
Mark Followill,TXA-21/Fox Sports Net,"Towns, Karl-Anthony -- MIN","Winslow, Justise -- MIA","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Johnson, Stanley -- DET","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND",2016,All-Rookie
Mark Medina,LA Daily News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Johnson, Stanley -- DET","Winslow, Justise -- MIA","Turner, Myles -- IND","Lyles, Trey -- UTA",2016,All-Rookie
Marv Albert,TNT,"Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Towns, Karl-Anthony -- MIN","Mudiay, Emmanuel -- DEN","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Richardson, Josh -- MIA","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Winslow, Justise -- MIA",2016,All-Rookie
Matt Devlin,SportsNet/TSN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Turner, Myles -- IND","Mudiay, Emmanuel -- DEN","Kaminsky, Frank -- CHA","Russell, D'Angelo -- LAL",2016,All-Rookie
Matt Pinto,WWLS / 98.1,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Kaminsky, Frank -- CHA","Jokic, Nikola -- DEN","Johnson, Stanley -- DET",2016,All-Rookie
Matt Winer,NBA TV,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Jokic, Nikola -- DEN","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Richardson, Josh -- MIA","Booker, Devin -- PHX","Johnson, Stanley -- DET","Russell, D'Angelo -- LAL",2016,All-Rookie
Michael Cage,Fox Sports Oklahoma,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Kaminsky, Frank -- CHA","Johnson, Stanley -- DET",2016,All-Rookie
Michael Wilbon,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Richardson, Josh -- MIA","Booker, Devin -- PHX","Winslow, Justise -- MIA","Russell, D'Angelo -- LAL","Jokic, Nikola -- DEN","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND",2016,All-Rookie
Mike Breen,ABC Sports,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Johnson, Stanley -- DET","Portis, Bobby -- CHI",2016,All-Rookie
Mike Crispino,MSG Network,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Kaminsky, Frank -- CHA","Cauley-Stein, Willie -- SAC","Jokic, Nikola -- DEN",2016,All-Rookie
