Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
J Falgoust,CSN Washington,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Green, Draymond (G.S.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)","George, Paul (Ind.)","Millsap, Paul (Atl.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)",2016,All-NBA
JA Adande,ESPN.com,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Davis, Anthony (N.O.)","Butler, Jimmy (Chi.)","Cousins, DeMarcus (N.O.)","Paul, Chris (LA-C)","Wall, John (Was.)",2016,All-NBA
Jackie MacMullan,ESPN.com,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Wall, John (Was.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Thomas, Isaiah (Bos.)","Paul, Chris (LA-C)",2016,All-NBA
Jacques Monclar,BEIN Sport,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Butler, Jimmy (Chi.)","Towns, Karl-Anthony (Min.)","Gasol, Marc (Mem.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Jalen Rose,ABC/ESPN,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Hayward, Gordon (Utah)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","George, Paul (Ind.)","Green, Draymond (G.S.)","Jordan, DeAndre (LA-C)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2016,All-NBA
Jared Greenberg,Turner,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Green, Draymond (G.S.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Hayward, Gordon (Utah)","George, Paul (Ind.)","Gobert, Rudy (Utah)","DeRozan, DeMar (Tor.)","Thompson, Klay (G.S.)",2016,All-NBA
Jason Jones,Sacramento Bee,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Cousins, DeMarcus (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gasol, Marc (Mem.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","George, Paul (Ind.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2016,All-NBA
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Green, Draymond (G.S.)","Butler, Jimmy (Chi.)","Gasol, Marc (Mem.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Jeff Zillgitt,USA Today,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Wall, John (Was.)","Curry, Stephen (G.S.)","Butler, Jimmy (Chi.)","George, Paul (Ind.)","Towns, Karl-Anthony (Min.)","Paul, Chris (LA-C)","Thomas, Isaiah (Bos.)",2016,All-NBA
Jerry Zgoda,Minneapolis Star-Tribune,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Gasol, Marc (Mem.)","Wall, John (Was.)","Lillard, Damian (Por.)",2016,All-NBA
