Voter,Affiliation,1st,2nd,3rd,Year
Pete Pranica,Fox Sports Tennessee,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Ginobili, Manu -- SA",2014
Peter Botte,New York Daily News,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Phil Chenier,Comcast SportsNet Mid-Atlantic,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Ralph Lawler,Prime Ticket,"Crawford, Jamal -- LAC","Williams, Lou -- TOR","Speights, Marreese -- GS",2014
Ramona Shelburne,ESPN.com,"Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC","Williams, Lou -- TOR",2014
Ric Bucher,Bleacher Report,"Gibson, Taj -- CHI","Thompson, Tristan -- CLE","Speights, Marreese -- GS",2014
Rick Bonnell,Charlotte Observer,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Ron Boone,ROOT Sports,"Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC","Iguodala, Andre -- GS",2014
Ron Tillery,Memphis Commercial Appeal,"Crawford, Jamal -- LAC","Ginobili, Manu -- SA","Thomas, Isaiah -- BOS",2014
Rusty Simmons,San Francisco Chronicle,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
Sage Steele,ABC Sports,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Thompson, Tristan -- CLE",2014
Sam Amick,USA Today,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Iguodala, Andre -- GS",2014
Sam Smith,Bulls.com,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Iguodala, Andre -- GS",2014
Scott Hastings,Altitude Sports & Entertainment,"Crawford, Jamal -- LAC","Speights, Marreese -- GS","Thomas, Isaiah -- BOS",2014
Sean Deveney,The Sporting News,"Williams, Lou -- TOR","Mirotic, Nikola -- CHI","Thomas, Isaiah -- BOS",2014
Sean Kelley,WWL 105.3 FM,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
Sherman Hamilton,NBA TV Canada,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Sherrod Blakely,Comcast SportsNet,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Stacey King,Comcast SportsNet Chicago,"Thomas, Isaiah -- BOS","Brewer, Corey -- HOU","Thompson, Tristan -- CLE",2014
