Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Guillermo Schutz,Televisa (TUDN),"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Westbrook, Russell (WAS)","Harden, James (BKN)",2021,All-NBA
Dennis Scott,Turner,"Tatum, Jayson (BOS)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Durant, Kevin (BKN)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Booker, Devin (PHX)",2021,All-NBA
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","James, LeBron (LAL)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","George, Paul (LAC)","Mitchell, Donovan (UTA)",2021,All-NBA
Bill Simmons,The Ringer,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (PHX)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Mike Singer,Denver Post,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","George, Paul (LAC)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Beal, Bradley (WAS)",2021,All-NBA
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Stephen Smith,ESPN,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Westbrook, Russell (WAS)",2021,All-NBA
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","George, Paul (LAC)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Irving, Kyrie (BKN)",2021,All-NBA
Seerat Sohi,The Ringer,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Beal, Bradley (WAS)","Randle, Julius (NYK)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Booker, Devin (PHX)","Mitchell, Donovan (UTA)",2021,All-NBA
Daisuke Sugiura,Nihon Keizai Shimbun,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","James, LeBron (LAL)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Tatum, Jayson (BOS)",2021,All-NBA
