"Voter","Affiliation","1st","2nd","3rd","4th","5th","Year","Award"
"Reiter, Bill","CBSSports.com","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Reverchon, Remi","BeIN Sport (France)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","2022","MVP"
"Reynolds, Tim","Associated Press","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","James, LeBron (LAL)","2022","MVP"
"Robbins, Josh","The Athletic","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Rohlin, Melissa","Fox Sports","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Rooks, Taylor","Bleacher Report","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)","2022","MVP"
"Rose, Jalen","ESPN","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Russillo, Ryen","The Ringer","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)","2022","MVP"
"Schuhmann, John","NBA.com","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Booker, Devin (PHX)","2022","MVP"
"Schutz, Guillermo","Televisa (TUDN)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","2022","MVP"
"Scott, Dennis","Turner","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)","2022","MVP"
"Shelburne, Ramona","ESPN","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Simmons, Bill","The Ringer","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Singer, Mike","Denver Post","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Slater, Anthony","The Athletic","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Curry, Stephen (GSW)","2022","MVP"
