Voter,Affiliation,1st,2nd,3rd,Year,Award
34 ,"Hubbarth, Cassidy",ESPN,"Morant, Ja (MEM)","Garland, Darius (CLE)","Maxey, Tyrese (PHI)",2022
35 ,"Iko, Kelly",The Athletic,"Murray, Dejounte (SAS)","Bridges, Miles (CHA)","Poole, Jordan (GSW)",2022
36 ,"Isola, Frank",Sirius Radio,"Garland, Darius (CLE)","Bane, Desmond (MEM)","Brunson, Jalen (DAL)",2022
37 ,"Jackson, Mark",ESPN,"Murray, Dejounte (SAS)","Bane, Desmond (MEM)","Poole, Jordan (GSW)",2022
38 ,"Johnson, Ernie",Turner,"Morant, Ja (MEM)","Murray, Dejounte (SAS)","Bridges, Miles (CHA)",2022
39 ,"Johnson, K.C.",NBC Sports Chicago,"Murray, Dejounte (SAS)","Bane, Desmond (MEM)","Poole, Jordan (GSW)",2022
40 ,"Kestecher, Marc",ESPN,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
41 ,"Kirschner, Chris",The Athletic,"Garland, Darius (CLE)","Murray, Dejounte (SAS)","Poole, Jordan (GSW)",2022
42 ,"Koreen, Eric",The Athletic,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
43 ,"Kushner, Scott",New Orleans Times-Picayune,"Morant, Ja (MEM)","Garland, Darius (CLE)","Maxey, Tyrese (PHI)",2022
44 ,"Lowe, Zach",ESPN,"Bane, Desmond (MEM)","Murray, Dejounte (SAS)","Poole, Jordan (GSW)",2022
